ID_SA,NAME_SA,COUNTRY_SA,THEME_SA,CLASSIFICATION_SA,imageUrl
1,方坤祺,基隆市,魔術表演,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F451/e7934d11-505d-4735-92d2-74aed29014d2.JPG
2,王建雄,基隆市,吉他自彈自唱,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F452/45009b85-dcac-45d6-9092-ca497be074f4.JPG
3,朱崇能,基隆市,草編、紙藝、童玩,創意工藝,
4,王盛昌,基隆市,烤漆噴畫,視覺藝術,
5,邱淑君,基隆市,民俗鄉土藝術,創意工藝,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F455/5afe835e-5820-4b30-bf57-ccdcb95bcfb5.jpg
6,朱庭慧,基隆市,古箏演奏,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F456/7e12f446-0a29-486d-bee7-249f33f492fa.JPG
7,邱藍月娥,基隆市,水晶珠串裝飾,創意工藝,
8,翁蘭香,基隆市,編織吸管、童玩,創意工藝,
9,余至寬,基隆市,吉他自彈自唱,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F459/171bd5e3-4915-42e6-9523-e6e852ecd024.JPG
10,張坤泰,基隆市,烙鐵板畫及板書,創意工藝,
11,吳坤炤,基隆市,吉他自彈自唱,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F461/1c5515c5-c839-4229-a788-eef9596f500d.jpg
12,吳昆育,基隆市,電鋼琴演奏,表演藝術,
13,張武興,基隆市,草編、紙藝、吸管工藝,創意工藝,
14,吳旻鴻,基隆市,吉他自彈唱,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F464/de52f4f1-a84f-4bbb-af17-adf687aae7a2.JPG
15,張惟勝,基隆市,篆刻、手工藝、書法,創意工藝,
16,陳素娟,基隆市,串珠、壓花,創意工藝,
17,鄒幸泰,基隆市,剪側影,創意工藝,
18,吳冠達,基隆市,魔術,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F468/396bd591-fb38-4710-a654-13d7d726b399.jpg
19,吳鴻寶,基隆市,Q版人像,視覺藝術,
20,劉鳳珠,基隆市,超輕粘土創作,創意工藝,
21,呂珠季,基隆市,電子琴演奏,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F471/3d8faed4-5d37-41c9-82ac-f67e72a124d6.jpg
22,宋俋蓁,基隆市,麥克筆人像素寫,視覺藝術,
23,李素梅,基隆市,人像繪畫,視覺藝術,
24,嚴柯秀蘭,基隆市,籐編、童玩、紙藝,創意工藝,
25,李新孔,基隆市,吉他＋口琴彈唱,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F475/55f5fbcd-78d0-4522-bfee-a66ed9415f71.JPG
26,白吉平,基隆市,捏麵人,創意工藝,
27,汪進發,基隆市,鋸琴演奏,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F477/c25b265e-3bd3-45a5-9de9-1996d0ae14c8.jpg
28,周松村,基隆市,尺八演奏,表演藝術,
29,呂佳婉,基隆市,彩繪,創意工藝,
30,李碧霞,基隆市,氣球藝術,創意工藝,
31,紀秀月,臺北市,歌唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-03-10/395f6c4d-1032-4abd-b06e-d9ca37858d52/e0477eb94ad98ed644c6bf50d106d81a.png
32,李政忠,臺北市,陶笛示範教學、音樂演奏,表演藝術,
33,許麗雪,臺北市,月琴自彈自唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-03-15/cc506b5a-0f3c-4567-845f-6d39e81ffe4c/ea3f12d464b4d5a80ba497a1a6517d96.jpg
34,陳妍如,臺北市,長笛演奏，歌唱,表演藝術,
35,謝寶丹,臺北市,唱歌,表演藝術,
36,吳奇鴻,臺北市,小丑、氣球、行動雕像,表演藝術,https://cloud.culture.tw/c_upload_busker/image/2018-05-19/9b745455-f95e-4a56-9d74-697e4cfa631d//2e5dde148cca645630e809f96360a296.jpg
37,胡清風,臺北市,鋸琴演奏,表演藝術,
38,劉懋漳,臺北市,手風琴、竹板快書、老歌演奏,表演藝術,
39,陳坤波,臺北市,吉他、口琴彈唱,表演藝術,
40,趙仲榮,臺北市,默劇、魔術、氣球秀,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-04-07/24a379e4-e7d9-4843-bd37-d727e5b645ba/8a926642453148b5b46808abda0b48dd.jpg
41,徐承邦,臺北市,口琴吹奏,表演藝術,
42,李冠毅,臺北市,小提琴演奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-03-15/aecf4e81-292a-49e1-beb6-9f9c3bae1c0f/6065968416c273264554f891da0371ba.JPG
43,陳孟俊,臺北市,二胡演奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-03-10/d66f9cb8-8074-46b4-bbbe-751430d8a310/89aea7d03fbefa71599825feb7b0ba44.jpg
44,鄭成發,臺北市,電子琴、口琴演奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-03-15/fca180bd-e552-411f-9418-3c8d9d03cd09/80c656ab0e1f8386e774310123f2e665.jpg
45,陳勝航,臺北市,西班牙吉他演奏,表演藝術,
46,胡清祥,臺北市,豎笛演奏,表演藝術,
47,陳哲明,臺北市,薩克斯風演奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-03-10/670ac5c4-0f3d-4225-80cd-db47bba68d25/e2e1226350ff3ded18e42469adaa9f43.jpg
48,蕭可鉅,臺北市,傳統技藝打陀螺,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-03-15/63d40129-7294-492c-bf0b-596e1d74856b/5bfcf2e71405937fefc096f9740d6b00.jpg
49,張林?,臺北市,豎笛,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2018-06-01/21a2dfec-cd35-4e7d-bee6-fce3f7e9067a/e9aec44b93a813819cfdc0a6b4ea496e.jpg
50,吳柏毅,臺北市,薩克斯風,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2016-07-28/b48f7c39-a3d5-4bec-aab2-b525c9ae41d1/8757488c1b800f85daa97398db71ed85.jpg
51,米奇?,臺北市,蕭類樂器演奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-03-29/2fdb32ab-de7b-4ce5-a643-e5d94d3cf24c/0feb3cdc4399528ebb68397a0de8fcff.jpg
52,林家德,臺北市,歌唱、吉他演奏,表演藝術,
53,洪竹駿,臺北市,詞曲創作發表,表演藝術,
54,唐招財,臺北市,民俗雜技,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-03-15/5c426137-9c74-4ae1-9701-db6ee843bd77/0ccdae4878c02dd123ad783dfd1e852b.jpg
55,高炎,臺北市,薩克斯風演奏,表演藝術,
56,蘇福寶,臺北市,洞簫、笛子演奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-03-15/93a3ac7b-bef4-4cc7-a9e3-bb1cce7d8008/7dd6a7a8675b7e437e79b08d27a942ea.jpg
57,洪仁勇,臺北市,汽球造型及魔術,表演藝術,
58,林福德,臺北市,薩克斯風演奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-03-15/75bd6d18-8285-453e-9fca-1c25aeba182b/d1fb2f5935447806d70b3ad7a0c3b529.jpg
59,張博威,臺北市,吉他彈唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-03-15/b8a43538-8a55-492d-8b9e-6e2f77c71219/0cdcddc442810b3012a57e2172fe5e17.JPG
60,陳明雄,臺北市,素描,視覺藝術,
61,吳旻鴻,雲林縣,吉他彈唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2016-06-30/fb36da2c-3e8d-4824-91bc-530f85f55fb9/10d58782872776d0ea8769929ed0ffc8.jpg
62,柯勝傑,雲林縣,吉他彈唱,表演藝術,
63,黃志可,雲林縣,二胡彈唱,表演藝術,
64,梁智凱,雲林縣,吉他彈唱,表演藝術,
65,穆艾卿,雲林縣,魔術表演　　　　　吉他彈唱,表演藝術,
66,劉威延,雲林縣,吉他彈唱,表演藝術,https://cloud.culture.tw/c_upload_busker/image/2019-01-03/6efa3601-b5df-4908-9760-9bd74e64133b/01b5fa0eeb84f9fdcc0478c605dbfd53.jpg
67,張智鈞,雲林縣,吉他彈唱,表演藝術,
68,路口逗留二人組 　　,雲林縣,吉他　　　　　　　鍵盤演奏彈唱,表演藝術,
69,陳又銘,雲林縣,吉他彈唱,表演藝術,
70,歐相宙,雲林縣,樂器彈唱,表演藝術,
71,趙仲榮,雲林縣,氣球秀　　　　　　默劇、魔術,表演藝術,
72,街頭團康 　　,雲林縣,卡拉OK帶動唱,表演藝術,
73,戀的音樂藝術 　　,雲林縣,樂團表演,表演藝術,
74,朱俊傑,雲林縣,口琴與吉他創意獨奏,表演藝術,
75,陶氣貓 　　,雲林縣,陶笛音樂演奏,表演藝術,
76,抗癌歌手 　　,雲林縣,電子琴彈唱,表演藝術,
77,陳宜男,雲林縣,排笛獨奏,表演藝術,
78,鄭億祥,雲林縣,電子琴彈唱,表演藝術,
79,風之情流行樂團,雲林縣,電子琴與管樂器合奏,表演藝術,
80,方坤?,雲林縣,魔術表演,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2016-08-12/921e01b0-88e8-44b4-8ba6-646a6878eb1b/dec12f65f8d164e58afa1cbade0933a2.jpg
81,吳坤炤,雲林縣,吉他彈唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2018-07-24/7360d4c4-d470-4108-a097-bfdb153ff7a6/8abe7fe1e48316672280cb8b25cddc6a.jpg
82,李新孔,雲林縣,吉他與口琴彈唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2016-06-30/f356bf96-6954-426c-b35e-8960a0fe45e4/c4e0dac1cae9353837d5007293878549.jpg
83,胡庭瑀,雲林縣,吉他彈唱,表演藝術,
84,黃靜香,雲林縣,電子琴彈唱,表演藝術,
85,林繞川,雲林縣,電子琴彈唱,表演藝術,
86,劉遠山,雲林縣,口琴演奏,表演藝術,
87,愛的進行式樂團,雲林縣,樂團演奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/team/image/2016-08-12/d8a1d855-9e1f-45c9-8025-c246d7bc289c/96ed4bc42531a1e7571b7eb90fe030b3.jpg
88,王建雄,雲林縣,吉他彈唱,表演藝術,
89,林威宇,雲林縣,電子琴彈唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2016-06-30/aca46d4e-2027-43e4-9ed7-ef69ee9d443f/7f90d5dda6da98da7f754f8c9bb2bcd5.JPG
90,韓齊家,雲林縣,吉他彈唱,表演藝術,
91,趙敦毅,臺中市,現代立方體,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-04-24/22560e4b-055a-40d2-ab69-d91c10b372fd/3299a10d0e06ac5a316af57c878ba220.jpg
92,陳玥戎,臺中市,襪子娃娃創作,創意工藝,
93,李羿嬅,臺中市,毛線編織,創意工藝,
94,蕭湘婷,臺中市,鍵盤自彈自唱,表演藝術,
